team,attack,defense,rating
Argentina,1.4626191967826152,-1.8500805365422055,3.3126997333248207
Spain,1.747575922732665,-1.4590948840347697,3.206670806767435
England,1.394992162768338,-1.4936554941763152,2.888647656944653
France,1.4969478740034992,-1.3576433906087744,2.8545912646122735
Brazil,1.582455026830564,-1.2282906770064839,2.810745703837048
Morocco,1.0981734479707952,-1.7112500815309113,2.8094235295017063
Portugal,1.5361469175107747,-1.2486426426293142,2.784789560140089
Japan,1.3484629655194962,-1.4362423725390607,2.784705338058557
Netherlands,1.5921173824968144,-1.1762901474773264,2.768407529974141
Colombia,1.6170171777381124,-1.1191963284386228,2.7362135061767354
Ecuador,0.8869721408651075,-1.7995698645853917,2.686542005450499
Norway,1.5110116034959133,-1.1720972539062706,2.6831088574021837
Germany,1.5977157049651005,-1.050753901939418,2.6484696069045186
Senegal,1.3274241120915742,-1.243298565700224,2.570722677791798
Switzerland,1.4406408152818857,-1.1159161017016228,2.5565569169835083
Austria,1.2296912411370087,-1.2194579502219614,2.44914919135897
Croatia,1.273677528652247,-1.1375098574528941,2.411187386105141
Uruguay,0.9516392192019717,-1.3985527688517738,2.3501919880537456
Belgium,1.338078864382312,-0.9558480844539927,2.2939269488363045
Algeria,1.2353858504597945,-1.021059734340532,2.2564455848003266
Turkey,1.2704717175865607,-0.9088398027902309,2.1793115203767917
Australia,1.0601185048453607,-1.083124945205848,2.1432434500512088
Paraguay,0.9463241559699168,-1.177726572362181,2.1240507283320977
Mexico,0.9804798831193845,-1.1169009468349846,2.097380829954369
Ivory Coast,0.9048905292301954,-1.1654966728029315,2.070387202033127
Canada,0.8952672792693075,-1.1501682425166377,2.0454355217859455
Iran,1.0540316635269174,-0.9348952455822213,1.9889269091091386
DR Congo,0.6504404566425459,-1.2769570415132478,1.9273974981557938
Egypt,0.7952951232725197,-1.1320702820480217,1.9273654053205416
Scotland,1.036992506374006,-0.8807925782468198,1.9177850846208258
Sweden,1.2835118264570322,-0.6012233402710799,1.8847351667281123
South Korea,1.0069075212530647,-0.7936017359787535,1.8005092572318182
Tunisia,0.7754948144635027,-1.020199357986705,1.7956941724502076
Uzbekistan,0.6963584869592355,-1.0945958918023686,1.790954378761604
United States,1.071419498782041,-0.6459968248011592,1.7174163235832
Czech Republic,0.9739029213980772,-0.706370510827745,1.6802734322258224
Jordan,0.9854769934380292,-0.4779002776251702,1.4633772710631994
Bosnia and Herzegovina,0.8113673653876375,-0.6306469778191424,1.4420143432067798
South Africa,0.7950299863835503,-0.6329818997110969,1.4280118860946471
Ghana,0.7648812579917088,-0.6547213379683843,1.419602595960093
Iraq,0.5461965691284967,-0.758131706432789,1.3043282755612857
Cape Verde,0.6906588957238662,-0.5958727843410327,1.286531680064899
New Zealand,0.49775038324928594,-0.782843095434003,1.2805934786832889
Panama,0.6948898977407593,-0.5829928741083528,1.2778827718491121
Saudi Arabia,0.5528892383939498,-0.643731452139569,1.1966206905335186
Haiti,0.5952978697116088,-0.3080037387259484,0.9033016084375571
Qatar,0.6338978112148878,-0.11865381413707946,0.7525516253519672
Curacao,0.2777274834508742,-0.1298445984352674,0.40757208188614164
